hid;bez;lat;lng;coordinate
10213;U Hermannplatz/Karl-Marx-Str. (Berlin);52.486.069.000.000;13.424.500.000.000;0101000000BA4C4D82373E4A40D34D621058D92A40
10214;U Hermannplatz/Sonnenallee (Berlin);52.487.555.000.000;13.426.477.000.000;01010000002A00C633683E4A400DFE7E315BDA2A40
10215;U Hermannplatz/Urbanstr. (Berlin);52.488.028.000.000;13.424.578.000.000;010100000022C495B3773E4A40C233A14962D92A40
10216;U Hohenzollernplatz (Berlin);52.493.833.000.000;13.324.051.000.000;0101000000C15774EB353F4A40E2783E03EAA52A40
10217;U Holzhauser Str. (Berlin);52.576.252.000.000;13.295.083.000.000;0101000000962023A0C2494A400D36751E15972A40
10218;U Hönow (Berlin);52.538.105.000.000;13.634.541.000.000;01010000003468E89FE0444A4039F1D58EE2442B40
10219;U Jakob-Kaiser-Platz (Berlin);52.536.985.000.000;13.293.661.000.000;0101000000A6B8AAECBB444A40A8380EBC5A962A40
10220;U Johannisthaler Chaussee (Berlin);52.429.253.000.000;13.453.851.000.000;0101000000DE5A26C3F1364A40888384285FE82A40
10221;U Kaiserdamm (Berlin);52.509.985.000.000;13.281.695.000.000;0101000000AC39403047414A40B8E4B8533A902A40
10222;U Kaiserin-Augusta-Str. (Berlin);52.460.512.000.000;13.384.905.000.000;010100000031B5A50EF23A4A403E22A64412C52A40
10223;U Karl-Marx-Str. (Berlin);52.476.429.000.000;13.439.805.000.000;0101000000D9EE1EA0FB3C4A400C3CF71E2EE12A40
10224;U Kaulsdorf-Nord (Berlin);52.521.436.000.000;13.588.763.000.000;0101000000817A336ABE424A4090300C58722D2B40
10225;U Kienberg (Berlin);52.527.349.000.000;13.589.345.000.000;0101000000064A0A2C80434A404B1FBAA0BE2D2B40
10226;U Kienberg (Gärten der Welt) (Berlin);52.528.490.000.000;13.590.550.000.000;0101000000AB21718FA5434A403C4ED1915C2E2B40
10227;U Kleistpark (Berlin);52.490.845.000.000;13.360.917.000.000;0101000000DB334B02D43E4A401024EF1CCAB82A40
10228;U Klosterstr. (Berlin);52.517.229.000.000;13.412.455.000.000;01010000007AC5538F34424A40B324404D2DD32A40
10229;U Kochstr./Checkpoint Charlie (Berlin);52.506.673.000.000;13.390.863.000.000;010100000013622EA9DA404A40D26EF4311FC82A40
10230;U Konstanzer Str. (Berlin);52.493.567.000.000;13.310.084.000.000;010100000042B115342D3F4A4096067E54C39E2A40
10231;U Kottbusser Tor (Berlin);52.499.047.000.000;13.417.748.000.000;01010000005D15A8C5E03F4A4056F0DB10E3D52A40
10232;U Krumme Lanke (Berlin);52.442.615.000.000;13.240.360.000.000;01010000000ADCBA9BA7384A407B884677107B2A40
10233;U Kurfürstendamm (Berlin);52.503.763.000.000;13.331.419.000.000;0101000000A9F7544E7B404A40CA8B4CC0AFA92A40
10234;U Kurfürstenstr. (Berlin);52.499.778.000.000;13.362.857.000.000;010100000051A1BAB9F83F4A40D53F8864C8B92A40
10235;U Kurt-Schumacher-Platz (Berlin);52.563.483.000.000;13.327.328.000.000;01010000000D6D003620484A4053211E8997A72A40
10236;U Leinestr. (Berlin);52.472.874.000.000;13.428.400.000.000;010100000079909E22873C4A407A36AB3E57DB2A40
10237;U Leopoldplatz (Berlin);52.546.493.000.000;13.359.395.000.000;0101000000183F8D7BF3454A401CB1169F02B82A40
10238;U Lindauer Allee (Berlin);52.575.394.000.000;13.339.047.000.000;01010000004628B682A6494A40249D819197AD2A40
10239;U Lipschitzallee (Berlin);52.424.645.000.000;13.463.109.000.000;010100000078B471C45A364A406EF7729F1CED2A40
10240;U Louis-Lewin-Str. (Berlin);52.539.135.000.000;13.619.707.000.000;010100000082902C6002454A405D34643C4A3D2B40
10241;U Magdalenenstr. (Berlin);52.512.214.000.000;13.489.439.000.000;0101000000D446753A90414A401EC6A4BF97FA2A40
10242;U Mehringdamm (Berlin);52.493.567.000.000;13.388.140.000.000;010100000042B115342D3F4A40F4893C49BAC62A40
10243;U Mehringdamm. (Berlin);52.492.772.000.000;13.388.392.000.000;010100000038312427133F4A405A0EF450DBC62A40
10244;U Mendelssohn-Bartholdy-Park (Berlin);52.503.806.000.000;13.374.719.000.000;0101000000A8C30AB77C404A403161342BDBBF2A40
10245;U Mierendorffplatz (Berlin);52.525.978.000.000;13.305.715.000.000;01010000002F35423F53434A4014CB2DAD869C2A40
10246;U Mohrenstr. (Berlin);52.511.519.000.000;13.383.798.000.000;01010000002D24607479414A40598AE42B81C42A40
10247;U Moritzplatz (Berlin);52.503.739.000.000;13.410.947.000.000;0101000000215C01857A404A4054C72AA567D22A40
10248;U Märkisches Museum (Berlin);52.512.007.000.000;13.408.767.000.000;01010000005A29047289414A40395E81E849D12A40
10249;U Märkisches Museum/Inselstr. (Berlin);52.512.353.000.000;13.412.093.000.000;0101000000F58079C894414A4031D28BDAFDD22A40
10250;U Möckernbrücke (Berlin);52.498.944.000.000;13.383.256.000.000;01010000008944A165DD3F4A40D6FD63213AC42A40
10251;U Naturkundemuseum (Berlin);52.531.254.000.000;13.382.415.000.000;010100000041EF8D2100444A40EBFF1CE6CBC32A40
10252;U Nauener Platz (Berlin);52.551.524.000.000;13.367.365.000.000;0101000000C47AA35698464A40DC63E94317BC2A40
10253;U Neu-Westend (Berlin);52.516.409.000.000;13.259.910.000.000;0101000000172EABB019424A4085CE6BEC12852A40
10254;U Nollendorfplatz (Berlin);52.499.644.000.000;13.353.825.000.000;010100000042D2A755F43F4A40B003E78C28B52A40
10255;U Olympia-Stadion (Berlin);52.517.048.000.000;13.250.500.000.000;01010000002A3BFDA02E424A40C74B378941802A40
10256;U Onkel Toms Hütte (Berlin);52.450.146.000.000;13.254.016.000.000;01010000006D3656629E394A404C5299620E822A40
10257;U Oranienburger Tor (Berlin);52.525.163.000.000;13.387.587.000.000;0101000000DD088B8A38434A40A2B5A2CD71C62A40
10258;U Oskar-Helene-Heim (Berlin);52.450.419.000.000;13.268.910.000.000;01010000009E3F6D54A7394A407D224F92AE892A40
10259;U Osloer Str. (Berlin);52.557.107.000.000;13.373.279.000.000;0101000000B4AF3C484F474A403291D26C1EBF2A40
10260;U Osloer Str./Tromsöer Str. (Berlin);52.558.016.000.000;13.372.492.000.000;010100000087527B116D474A40130B7C45B7BE2A40
10261;U Otisstr. (Berlin);52.571.122.000.000;13.303.074.000.000;0101000000580394861A494A402B89EC832C9B2A40
10262;U Pankstr. (Berlin);52.552.255.000.000;13.381.837.000.000;0101000000B806B64AB0464A4036CEA62380C32A40
10263;U Paracelsus-Bad (Berlin);52.574.534.000.000;13.347.532.000.000;0101000000543882548A494A407FA0DCB6EFB12A40
10264;U Paracelsus-Bad/Aroser Allee (Berlin);52.574.002.000.000;13.350.806.000.000;010100000057EBC4E578494A402D7B12D89CB32A40
10265;U Paradestr. (Berlin);52.478.142.000.000;13.386.725.000.000;0101000000096CCEC1333D4A405917B7D100C62A40
10266;U Parchimer Allee (Berlin);52.445.299.000.000;13.449.967.000.000;010100000083F8C08EFF384A40F78E1A1362E62A40
10267;U Paulsternstr. (Berlin);52.538.098.000.000;13.248.593.000.000;010100000081053065E0444A407007EA94477F2A40
10268;U Platz der Luftbrücke (Berlin);52.485.669.000.000;13.387.799.000.000;01010000002CD7DB662A3E4A40CFD72C978DC62A40
10269;U Podbielskiallee (Berlin);52.464.172.000.000;13.295.203.000.000;010100000005DCF3FC693B4A40B85CFDD824972A40
10270;U Prinzenstr. (Berlin);52.498.274.000.000;13.406.531.000.000;01010000003B394371C73F4A40CF9ECBD424D02A40
10271;U Rathaus Neukölln (Berlin);52.481.146.000.000;13.434.807.000.000;0101000000F54C2F31963D4A40CC24EA059FDE2A40
10272;U Rathaus Reinickendorf (Berlin);52.588.218.000.000;13.325.568.000.000;0101000000927538BA4A4B4A408E3F51D9B0A62A40
10273;U Rathaus Schöneberg (Berlin);52.483.332.000.000;13.341.989.000.000;01010000001D8EAED2DD3D4A40F92EA52E19AF2A40
10274;U Rehberge (Berlin);52.556.670.000.000;13.341.013.000.000;010100000008556AF640474A408E05854199AE2A40
10275;U Reinickendorfer Str. (Berlin);52.539.895.000.000;13.370.393.000.000;0101000000102384471B454A40AC55BB26A4BD2A40
10276;U Reinickendorfer Str./Fennstr. (Berlin);52.541.524.000.000;13.369.412.000.000;0101000000E3FF8EA850454A40FA7FD59123BD2A40
10277;U Residenzstr. (Berlin);52.570.843.000.000;13.360.635.000.000;01010000004513286211494A40FF959526A5B82A40
10278;U Richard-Wagner-Platz (Berlin);52.517.154.000.000;13.307.221.000.000;01010000006F7F2E1A32424A40F14927124C9D2A40
10279;U Rohrdamm (Berlin);52.536.904.000.000;13.262.870.000.000;0101000000B98B3045B9444A40F4328AE596862A40
10280;U Rosa-Luxemburg-Platz (Berlin);52.528.191.000.000;13.410.405.000.000;010100000051853FC39B434A40D23AAA9A20D22A40
10281;U Rosenthaler Platz (Berlin);52.529.781.000.000;13.401.393.000.000;0101000000668522DDCF434A40C9AF1F6283CD2A40
10282;U Rudow (Berlin);52.415.714.000.000;13.496.527.000.000;0101000000A33EC91D36354A40782975C938FE2A40
10283;U Ruhleben (Berlin);52.525.587.000.000;13.241.902.000.000;0101000000F419506F46434A408AAC3594DA7B2A40
10284;U Rüdesheimer Platz (Berlin);52.472.462.000.000;13.314.387.000.000;0101000000274D83A2793C4A403A933655F7A02A40
10285;U Samariterstr. (Berlin);52.514.662.000.000;13.465.347.000.000;01010000003A3FC571E0414A405B9544F641EE2A40
10286;U Scharnweberstr. (Berlin);52.567.111.000.000;13.311.524.000.000;0101000000D619DF1797484A4095D6DF12809F2A40
10287;U Schillingstr. (Berlin);52.520.316.000.000;13.421.895.000.000;0101000000F3CAF5B699424A401CB1169F02D82A40
10288;U Schlesisches Tor (Berlin);52.501.147.000.000;13.441.791.000.000;010100000088BEBB9525404A409355116E32E22A40
10289;U Schloßstr. (Berlin);52.461.183.000.000;13.324.836.000.000;01010000004F3C670B083B4A407D2079E750A62A40
10290;U Schwartzkopffstr. (Berlin);52.535.397.000.000;13.377.033.000.000;010100000032B08EE387444A408A0629780AC12A40
10291;U Schönleinstr. (Berlin);52.493.179.000.000;13.422.241.000.000;010100000078094E7D203F4A40880FECF82FD82A40
10292;U Seestr. (Berlin);52.550.470.000.000;13.351.969.000.000;0101000000EDB60BCD75464A406269E04735B42A40
10293;U Senefelderplatz (Berlin);52.532.622.000.000;13.412.625.000.000;0101000000A8902BF52C444A402506819543D32A40
10294;U Siemensdamm (Berlin);52.537.026.000.000;13.273.323.000.000;0101000000048D9944BD444A403D7D04FEF08B2A40
10295;U Sophie-Charlotte-Platz (Berlin);52.510.970.000.000;13.297.463.000.000;01010000005A9E077767414A40448A01124D982A40
10296;U Spichernstr. (Berlin);52.496.582.000.000;13.330.613.000.000;010100000021E4BCFF8F3F4A40D0436D1B46A92A40
10297;U Spittelmarkt (Berlin);52.511.301.000.000;13.402.352.000.000;0101000000C0B4A84F72414A40DCF5D21401CE2A40
10298;U Stadtmitte (Berlin);52.511.495.000.000;13.389.719.000.000;0101000000A4880CAB78414A407842AF3F89C72A40
10299;U Stadtmitte/Leipziger Str. (Berlin);52.510.324.000.000;13.389.918.000.000;0101000000942EFD4B52414A40533E0455A3C72A40
10300;U Strausberger Platz (Berlin);52.518.025.000.000;13.432.208.000.000;010100000055C1A8A44E424A409E23F25D4ADD2A40
10301;U Südstern (Berlin);52.489.219.000.000;13.407.685.000.000;010100000079CA6ABA9E3E4A40B8239C16BCD02A40
10302;U Tempelhof/Ringbahnstr. (Berlin);52.468.806.000.000;13.385.842.000.000;01010000009415C3D5013C4A40B2D826158DC52A40
10303;U Tierpark (Berlin);52.497.236.000.000;13.523.626.000.000;01010000006A32E36DA53F4A40ACAB02B5180C2B40
10304;U Turmstr. (Berlin);52.525.938.000.000;13.341.417.000.000;0101000000A0DCB6EF51434A40CC988235CEAE2A40
10305;U Uhlandstr. (Berlin);52.502.742.000.000;13.326.233.000.000;0101000000AE2990D959404A407FC0030308A72A40
10306;U Ullsteinstr. (Berlin);52.453.450.000.000;13.384.771.000.000;0101000000832F4CA60A3A4A4000E65AB400C52A40
10307;U Viktoria-Luise-Platz (Berlin);52.496.169.000.000;13.343.264.000.000;0101000000FF243E77823F4A40CDC98B4CC0AF2A40
10308;U Vinetastr. (Berlin);52.559.517.000.000;13.413.770.000.000;01010000002C47C8409E474A40C02154A9D9D32A40
10309;U Voltastr. (Berlin);52.541.930.000.000;13.393.157.000.000;0101000000535C55F65D454A400F63D2DF4BC92A40
10310;U Walther-Schreiber-Platz (Berlin);52.464.998.000.000;13.328.409.000.000;01010000004B5AF10D853B4A40946C753925A82A40
10311;U Weberwiese (Berlin);52.516.848.000.000;13.443.278.000.000;01010000006380441328424A4094128255F5E22A40
10312;U Weinmeisterstr. (Berlin);52.525.376.000.000;13.405.305.000.000;0101000000390D51853F434A4081CF0F2384CF2A40
10313;U Weinmeisterstr./Gipsstr. (Berlin);52.525.487.000.000;13.403.526.000.000;010100000090BC732843434A40E02BBAF59ACE2A40
10314;U Westphalweg (Berlin);52.445.801.000.000;13.385.561.000.000;010100000016C3D50110394A40E2395B4068C52A40
10315;U Wilmersdorfer Str. (Berlin);52.506.415.000.000;13.306.774.000.000;0101000000179AEB34D2404A40B686527B119D2A40
10316;U Wilmersdorfer Str./Kantstr. (Berlin);52.506.641.000.000;13.307.056.000.000;010100000008E8BE9CD9404A40C614AC71369D2A40
10317;U Wilmersdorfer Str./S Charlottenburg (Berlin);52.505.693.000.000;13.306.026.000.000;01010000007768588CBA404A408E739B70AF9C2A40
10318;U Wittenbergplatz (Berlin);52.502.109.000.000;13.342.561.000.000;01010000007D03931B45404A4026C5C72764AF2A40
10319;U Wutzkyallee (Berlin);52.423.152.000.000;13.474.820.000.000;0101000000569E40D829364A4033F9669B1BF32A40
10320;U Zitadelle (Berlin);52.537.522.000.000;13.217.625.000.000;0101000000B5705985CD444A408195438B6C6F2A40
10321;U Zwickauer Damm (Berlin);52.423.032.000.000;13.484.371.000.000;0101000000AB949EE925364A40FA42C879FFF72A40
10322;U Theodor-Heuss-Platz (Berlin);52.509.798.000.000;13.272.977.000.000;01010000007AC8940F41414A40D11E2FA4C38B2A40
