hid;bez;lat;lng;coordinate
10050;S Lankwitz (Berlin);52.439.034.000.000;13.342.760.000.000;010100000081EA1F4432384A4001C11C3D7EAF2A40
10051;S Lichtenrade (Berlin);52.387.676.000.000;13.396.234.000.000;0101000000D8B8FE5D9F314A406420CF2EDFCA2A40
10052;S Lichterfelde Ost Bhf (Berlin);52.429.098.000.000;13.328.078.000.000;0101000000B763EAAEEC364A40FD12F1D6F9A72A40
10053;S Lichterfelde Süd (Berlin);52.409.956.000.000;13.308.662.000.000;010100000045662E7079344A40310917F2089E2A40
10054;S Lichterfelde West (Berlin);52.443.512.000.000;13.294.141.000.000;010100000018B14F00C5384A4052D32EA699962A40
10055;S Mahlsdorf Bhf (Berlin);52.512.118.000.000;13.611.230.000.000;0101000000B2D826158D414A400DAB7823F3382B40
10056;S Marienfelde (Berlin);52.423.816.000.000;13.375.022.000.000;0101000000C2C2499A3F364A409F8F32E202C02A40
10057;S Marzahn (Berlin);52.543.272.000.000;13.541.524.000.000;0101000000906AD8EF89454A408BFF3BA242152B40
10058;S Mehrower Allee (Berlin);52.557.816.000.000;13.554.392.000.000;0101000000C097C28366474A40FC53AA44D91B2B40
10059;S Messe Nord/ICC (Berlin);52.506.454.000.000;13.283.043.000.000;0101000000D576137CD3404A4034B91803EB902A40
10060;S Messe Süd (Berlin);52.498.771.000.000;13.270.450.000.000;0101000000BB9866BAD73F4A400A68226C788A2A40
10061;S Mexikoplatz (Berlin);52.437.166.000.000;13.232.060.000.000;01010000002976340EF5374A40666B7D91D0762A40
10062;S Nikolassee (Berlin);52.431.210.000.000;13.193.298.000.000;0101000000A5DAA7E331374A40B1C398F4F7622A40
10063;S Nordbahnhof (Berlin);52.531.672.000.000;13.388.798.000.000;01010000007619FED30D444A401B800D8810C72A40
10064;S Nordbahnhof/Gartenstr. (Berlin);52.533.360.000.000;13.387.492.000.000;01010000004E7FF62345444A405BECF65965C62A40
10065;S Nöldnerplatz (Berlin);52.503.444.000.000;13.484.297.000.000;010100000008AF5DDA70404A40111AC1C6F5F72A40
10066;S Nöldnerplatz/Schlichtallee (Berlin);52.502.274.000.000;13.485.141.000.000;0101000000C8D0B1834A404A40C1E5B16664F82A40
