20012;S2;Blankenfelde|Mahlow|Lichtenrade|Schichauweg|Buckower Chaussee|Marienfelde|Attilastr.|Priesterweg|Südkreuz|Yorckstr.|Anhalter Bahnhof|Potsdamer Platz|Brandenburger Tor|Friedrichstr.|Oranienburger Str.|Nordbahnhof|Humboldthain|Gesundbrunnen|Bornholmer Str.|Pankow|Pankow-Heinersdorf|Blankenburg|Karow|Buch|Röntgental|Zepernick|Bernau-Friedenstal|Bernau||||||||||||
20013;S25;Teltow Stadt|Lichterfelde Süd|Osdorfer Str.|Lichterfelde Ost|Lankwitz|Südende|Priesterweg|Südkreuz|Yorckstr.|Anhalter Bahnhof|Potsdamer Platz|Brandenburger Tor|Friedrichstr.|Oranienburger Str.|Nordbahnhof|Humboldthain|Gesundbrunnen|Bornholmer Str.|Wollankstr.|Schönholz|Alt-Reinickendorf|Karl-Bonhoeffer-Nervenklinik|Eichborndamm|Tegel|Schulzendorf|Heiligensee|Hennigsdorf|||||||||||||
20014;S26;Teltow Stadt|Lichterfelde Süd|Osdorfer Str.|Lichterfelde Ost|Lankwitz|Südende|Priesterweg|Südkreuz|Yorckstr.|Anhalter Bahnhof|Potsdamer Platz|Brandenburger Tor|Friedrichstr.|Oranienburger Str.|Nordbahnhof|Humboldthain|Gesundbrunnen|Bornholmer Str.|Wollankstr.|Schönholz|Wilhelmsruh|Wittenau|Waidmannslust|||||||||||||||||
20015;S3;Erkner|Wilhelmshagen|Rahnsdorf|Friedrichshagen|Hirschgarten|Köpenick|Wuhlheide|Karlshorst|Betriebsbahnhof Rummelsburg|Rummelsburg|Ostkreuz|Warschauer Str.|Ostbahnhof|Jannowitzbrücke|Alexanderplatz|Hackescher Markt|Friedrichstr.|Hauptbahnhof|Bellevue|Tiergarten|Zoologischer Garten|Savignyplatz|Charlottenburg|Westkreuz|Messe Süd (Eichkamp)|Heerstr.|Olympiastadion|Pichelsberg|Stresow|Spandau||||||||||
20016;S41;Gesundbrunnen|Schönhauser Allee|Prenzlauer Allee|Greifswalder Str.|Landsberger Allee|Storkower Str.|Frankfurter Allee|Ostkreuz|Treptower Park|Sonnenallee|Neukölln|Hermannstr.|Tempelhof|Südkreuz|Schöneberg|Innsbrucker Platz|Bundesplatz|Heidelberger Platz|Hohenzollerndamm|Halensee|Westkreuz|Messe Nord / ICC (Witzleben)|Westend|Jungfernheide|Beusselstr.|Westhafen|Wedding|||||||||||||
20017;S42;Gesundbrunnen|Wedding|Westhafen|Beusselstr.|Jungfernheide|Westend|Messe Nord / ICC (Witzleben)|Westkreuz|Halensee|Hohenzollerndamm|Heidelberger Platz|Bundesplatz|Innsbrucker Platz|Schöneberg|Südkreuz|Tempelhof|Hermannstr.|Neukölln|Sonnenallee|Treptower Park|Ostkreuz|Frankfurter Allee|Storkower Str.|Landsberger Allee|Greifswalder Str.|Prenzlauer Allee|Schönhauser Allee|||||||||||||
20018;S45;Flughafen Schönefeld|Grünbergallee|Altglienicke|Adlershof|Betriebsbahnhof Schöneweide|Schöneweide|Baumschulenweg|Köllnische Heide|Neukölln|Hermannstr.|Tempelhof|Südkreuz||||||||||||||||||||||||||||
20019;S46;Königs Wusterhausen|Wildau|Zeuthen|Eichwalde|Grünau|Adlershof|Betriebsbahnhof Schöneweide|Schöneweide|Baumschulenweg|Köllnische Heide|Neukölln|Hermannstr.|Tempelhof|Südkreuz|Schöneberg|Innsbrucker Platz|Bundesplatz|Heidelberger Platz|Hohenzollerndamm|Halensee|Westkreuz|Messe Nord / ICC (Witzleben)|Westend|||||||||||||||||
20020;S47;Spindlersfeld|Oberspree|Schöneweide|Baumschulenweg|Köllnische Heide|Neukölln|Hermannstr.|||||||||||||||||||||||||||||||||
20021;S5;Strausberg Nord|Strausberg Stadt|Hegermühle|Strausberg|Petershagen Nord|Fredersdorf|Neuenhagen|Hoppegarten (Mark)|Birkenstein|Mahlsdorf|Kaulsdorf|Wuhletal|Biesdorf|Friedrichsfelde Ost|Lichtenberg|Nöldnerplatz|Ostkreuz|Warschauer Str.|Ostbahnhof|Jannowitzbrücke|Alexanderplatz|Hackescher Markt|Friedrichstr.|Hauptbahnhof|Bellevue|Tiergarten|Zoologischer Garten|Savignyplatz|Charlottenburg|Westkreuz||||||||||
20022;S7;Ahrensfelde|Mehrower Allee|Raoul-Wallenberg-str.|Marzahn|Poelchaustr.|Springpfuhl|Friedrichsfelde Ost|Lichtenberg|Nöldnerplatz|Ostkreuz|Warschauer Str.|Ostbahnhof|Jannowitzbrücke|Alexanderplatz|Hackescher Markt|Friedrichstr.|Hauptbahnhof|Bellevue|Tiergarten|Zoologischer Garten|Savignyplatz|Charlottenburg|Westkreuz|Grunewald|Nikolassee|Wannsee|Potsdam Griebnitzsee|Babelsberg|Potsdam Hbf|||||||||||
20023;S75;Wartenberg|Hohenschönhausen|Gehrenseestr.|Springpfuhl|Friedrichsfelde Ost|Lichtenberg|Nöldnerplatz|Ostkreuz|Warschauer Str.|Ostbahnhof||||||||||||||||||||||||||||||
20024;S8;Zeuthen|Eichwalde|Grünau|Adlershof|Betriebsbahnhof Schöneweide|Schöneweide|Baumschulenweg|Plänterwald|Treptower Park|Ostkreuz|Frankfurter Allee|Storkower Str.|Landsberger Allee|Greifswalder Str.|Prenzlauer Allee|Schönhauser Allee|Bornholmer Str.|Pankow|Pankow-Heinersdorf|Blankenburg|Mühlenbeck-Mönchmühle|Schönfließ|Bergfelde|Hohen Neuendorf|Birkenwerder|||||||||||||||
20025;S85;Grünau|Adlershof|Betriebsbahnhof Schöneweide|Schöneweide|Baumschulenweg|Plänterwald|Treptower Park|Ostkreuz|Frankfurter Allee|Storkower Str.|Landsberger Allee|Greifswalder Str.|Prenzlauer Allee|Schönhauser Allee|Bornholmer Str.|Pankow||||||||||||||||||||||||
20026;S9;Flughafen Schönefeld|Grünbergallee|Altglienicke|Adlershof|Betriebsbahnhof Schöneweide|Schöneweide|Baumschulenweg|Plänterwald|Treptower Park|Warschauer Str.|Ostbahnhof|Jannowitzbrücke|Alexanderplatz|Hackescher Markt|Friedrichstr.|Hauptbahnhof|Bellevue|Tiergarten|Zoologischer Garten|Savignyplatz|Charlottenburg|Westkreuz|Messe Süd (Eichkamp)|Heerstr.|Olympiastadion|Pichelsberg|Stresow|Spandau||||||||||||
